REVIEW_ID,RESTAURANT_ID,CUSTOMER_ID,RATING,REVIEW_DATE,ORDER_TYPE,REVIEW_TEXT,RESTAURANT_NAME,RESTAURANT_CUISINE_TYPE,PRICE_RANGE,RESTAURANT_LOCATION_AREA,RESTAURANT_LOCATION_NEIGHBORHOOD,RESTAURANT_LOCATION_REGION,RESTAURANT_OPENING_HOURS,RESTAURANT_HAS_DELIVERY,RESTAURANT_HAS_TAKEOUT,RESTAURANT_DATE_ADDED,CUSTOMER_NAME,CUSTOMER_EMAIL,CUSTOMER_JOIN_DATE,CUSTOMER_PREFERRED_CUISINE,CUSTOMER_CITY,CUSTOMER_STATE,IS_CUSTOMER_FREQUENT
11,682,8815,5.0,2024-12-11 00:10:51.000,delivery,"""I'm still reeling from the exceptional dining experience I had with Lara-Phillips' delivery service - the epitome of French cuisine in the comfort of my own home! The Bouillabaisse was a masterclass in rich, velvety broth and tender seafood, while the Duck Confit was fall-off-the-bone tender with a crispy, caramelized skin that added a delightful textural element. The accompanying sides, including the garlic mashed potatoes and sautéed spinach, were cooked to perfection and complemented the main courses beautifully. Overall, Lara-Phillips has set a new standard for delivery cuisine in my book - 5 stars isn't enough, I'd give it 10 if I could!""",Lara-Phillips,French,$$$,Suburb,Pine Hills,Outer,9AM - 8PM,true,true,2025-01-17,Meagan James,carla42@example.net,2023-04-28,Indian,East Douglas,DE,false
12,541,1915,4.0,2023-09-11 00:10:51.000,delivery,"""I was thoroughly impressed with my delivery order from Bishop PLC - the flavors and quality of the dishes were on par with some of the best Chinese restaurants I've had the pleasure of dining at. The Kung Pao chicken was spicy and savory, with a generous portion of crunchy peanuts and scallions, while the vegetable lo mein was cooked to a perfect tender-crisp texture. My only minor quibble was that the delivery took a bit longer than expected, but the food was still hot and fresh when it arrived. Overall, I'd highly recommend Bishop PLC for a satisfying and authentic Chinese food fix - I'll definitely be ordering from them again!"" 4/5 stars",Bishop PLC,Chinese,$$$$,East Side,Harbor Heights,East,11AM - 10PM,true,true,2024-02-05,Samantha Alexander,cathy10@example.com,2024-09-14,American,South Robert,WV,false
13,141,3953,2.0,2024-12-18 00:10:51.000,dine-in,"**2/5 stars**

I'm usually not one to write scathing reviews, but my recent dinner experience at Ramirez, Bell and Simpson Dragon was a major letdown. The Kung Pao chicken was overcooked and dry, with a sauce that tasted more like ketchup than Szechuan pepper. The service was also inattentive, with our server seemingly more interested in chatting with the kitchen staff than refilling our drinks. For a restaurant with such a bold name, the flavors and service were disappointingly bland.","Ramirez, Bell and Simpson Dragon",Chinese,$$$,Downtown,Financial District,Central,11AM - 12PM,true,true,2023-06-22,Christopher Gonzalez,jamesfranco@example.net,2024-04-11,American,Lake Matthewmouth,GA,false
14,998,7691,3.0,2023-04-21 00:10:51.000,takeout,"I stopped by Wilson Inc to try their Mediterranean takeout, and while it was a solid option, it didn't particularly stand out from the crowd. The falafel wrap I ordered was crispy and flavorful, but the accompanying hummus and tabbouleh were just average. The portion size was generous, but the overall presentation was lacking, with everything tossed into a cardboard container without much care. For the price, I expected a bit more attention to detail, but it was still a satisfying, if unremarkable, meal.",Wilson Inc,Mediterranean,$,Downtown,Financial District,Central,9AM - 10PM,false,true,2023-05-08,Mr. Kevin Lucero DVM,opeterson@example.com,2024-08-26,French,West Donnahaven,SC,false
15,876,554,4.0,2025-01-28 00:10:51.000,dine-in,"**4.0/5 stars**

I stopped by Sanders, Bowen and Hardy Olive for a Mediterranean-inspired dinner and was generally pleased with my experience. As a pescatarian, I appreciated the variety of seafood options on the menu, and the grilled octopus appetizer was a highlight - tender and flavorful with a nice char. However, the vegetarian moussaka, while rich and satisfying, was slightly overpriced at $22. The service was friendly and attentive, but not overly knowledgeable about the menu's gluten-free options, which might be a concern for diners with dietary restrictions. Overall, a solid choice for Mediterranean cuisine, but not particularly memorable.","Sanders, Bowen and Hardy Olive",Mediterranean,$$,Suburb,Pine Hills,Outer,10AM - 10PM,true,true,2024-01-28,David Cannon,xjoseph@example.com,2024-05-09,Vietnamese,Danielstad,PW,true
16,857,5073,3.5,2024-11-07 00:10:51.000,takeout,"""I was pleasantly surprised by the flavors and value offered by Alvarado LLC Palace, a hidden gem for Chinese takeout in the area. The Kung Pao chicken was a highlight, with a perfect balance of spicy and savory notes, and the portion size was generous to say the least. While the egg rolls were a tad greasy, the overall quality of the food and speedy delivery (under 30 minutes!) made up for it. For a quick and satisfying meal, Alvarado LLC Palace is definitely worth a try - just be prepared for some minor inconsistencies in the cooking. Overall, a solid 3.5 stars from this reviewer!""",Alvarado LLC Palace,Chinese,$$$$,East Side,Harbor Heights,East,11AM - 11PM,true,false,2023-08-02,Jessica Jenkins,keith81@example.net,2024-12-06,Japanese,New Lisamouth,IA,false
17,753,3402,5.0,2024-10-05 00:10:51.000,takeout,"""I'm blown away by the incredible flavors and generous portions from Lewis, Garcia and Myers! I ordered takeout from this hidden gem and was thoroughly impressed by the tender carnitas, rich mole, and creamy guacamole that arrived at my doorstep. The attention to detail in every dish was evident, from the crispy tortilla chips to the fresh cilantro sprinkled on top of my tacos. For a takeout experience that rivals a sit-down meal, look no further than Lewis, Garcia and Myers - 5 stars isn't enough, I'd give it 10 if I could!""","Lewis, Garcia and Myers",Mexican,$$$,Midtown,Garment District,Central,11AM - 12PM,true,true,2023-08-19,Douglas Whitehead,benjaminwilson@example.org,2024-12-30,American,Lyonsstad,NY,false
18,243,8432,5.0,2024-10-06 00:10:51.000,dine-in,"""I'm still reeling from the incredible dining experience I had at Mendoza, Valencia and Johnson last night. From the moment we walked in, the warm and inviting atmosphere set the tone for a truly exceptional evening. The pasta dishes we ordered, including the handmade pappardelle and the decadent truffle risotto, were cooked to perfection and bursting with rich, authentic Italian flavors. The service was top-notch, with our server expertly guiding us through the menu and wine list. Overall, I'd highly recommend Mendoza, Valencia and Johnson to anyone seeking a truly unforgettable Italian meal - 5 stars, without a doubt!""","Mendoza, Valencia and Johnson",Italian,$$,Midtown,Chelsea,Central,8AM - 12PM,true,true,2023-08-31,Stephanie Miller,christopherbonilla@example.org,2024-06-08,Vietnamese,South Michael,SC,true
19,566,7299,5.0,2023-07-24 00:10:51.000,dine-in,"""I'm still reeling from my exceptional dining experience at Mcgee, Hansen and Miller Mediterranean! The moment I walked in, I was enveloped in the warm and inviting atmosphere, complete with rustic decor and the enticing aroma of freshly baked pita bread. The service was top-notch, with our server expertly guiding us through the menu and making spot-on recommendations. The real star of the show, however, was the food - the grilled octopus was tender and smoky, and the lamb gyro was a masterclass in flavor and texture. Overall, a truly unforgettable meal that has earned Mcgee, Hansen and Miller a well-deserved 5-star rating from this reviewer!""","Mcgee, Hansen and Miller Mediterranean",Mediterranean,$$$,West Side,Harborview,West,8AM - 11PM,true,true,2024-09-14,Brittney Jacobson,kcooper@example.com,2022-03-14,Italian,Martinview,ME,false
20,50,795,4.5,2023-09-14 00:10:51.000,takeout,"""I'm so glad I stumbled upon Mcintosh Group for my Thai food fix - their takeout game is on point! I ordered the Pad Thai and Green Curry, and both dishes were expertly prepared with bold, balanced flavors that transported me straight to the streets of Bangkok. The portion sizes were generous, to say the least, and the prices were very reasonable. My only minor quibble was that the rice was slightly overcooked, but it didn't detract from the overall experience - I'd highly recommend Mcintosh Group to anyone craving authentic Thai cuisine. 4.5/5 stars, can't wait to order again!""",Mcintosh Group,Thai,$$$,Midtown,Garment District,Central,7AM - 8PM,false,true,2024-08-09,Cynthia Brown,patrickchurch@example.org,2022-08-12,Mediterranean,West Theresamouth,SD,false
21,73,3472,5.0,2024-09-18 00:10:51.000,dine-in,"""I'm still reeling from my incredible dining experience at Mckenzie Group Diner! The moment I walked in, I was greeted with a warm smile and a cozy atmosphere that set the tone for a fantastic meal. The service was top-notch, with our server being attentive and knowledgeable about the menu. But the real star of the show was the food - I opted for the signature burger and it was cooked to perfection, with a juicy patty, crispy bacon, and all the fixings. Overall, I'm so impressed with Mckenzie Group Diner and can't wait to come back and try more of their delicious American classics!"" 5/5 stars",Mckenzie Group Diner,American,$$,University Area,College Town,North,8AM - 8PM,true,true,2023-08-06,Lisa Russo,parkscolleen@example.org,2022-06-07,American,New Philipborough,MN,false
22,137,2169,3.0,2024-01-14 00:10:51.000,takeout,"**3.0/5 stars**

I stopped by Banks, Cruz and Mcconnell Tokyo for a quick takeout dinner, hoping to satisfy my cravings for some authentic Japanese flavors. As a pescatarian, I was pleased to see a variety of seafood options on the menu, but unfortunately, the dishes I ordered didn't quite live up to my expectations. The spicy tuna roll was fresh and flavorful, but the ""veggie tempura"" I added as a side was a bit greasy and lacking in variety (just carrots and zucchini). Overall, it was a decent, if unremarkable, meal that I wouldn't go out of my way for, but might consider again if I'm in the area and craving Japanese takeout.","Banks, Cruz and Mcconnell Tokyo",Japanese,$$,Downtown,Financial District,Central,10AM - 8PM,true,true,2024-12-18,Alexander Garcia,nicolecarter@example.com,2022-04-01,Japanese,Dixonbury,ME,true
23,358,5881,3.0,2024-09-16 00:10:51.000,takeout,"**3.0/5 stars**

I stopped by Robinson Inc Thai Spice for a quick takeout dinner and had a decent, if unremarkable, experience. As a vegetarian, I was pleased to see a variety of options on the menu, including a vegan ""chicken"" satay that was surprisingly convincing. However, the pad thai I ordered was a bit too sweet for my taste, and the portion size was smaller than I expected for the price. Overall, Robinson Inc Thai Spice is a solid choice for a quick, convenient meal, but it didn't particularly stand out from other Thai places I've tried.",Robinson Inc Thai Spice,Thai,$$$$,Downtown,Theater District,Central,10AM - 9PM,false,false,2023-06-26,Judith Wilson,tamaraowen@example.org,2023-10-06,Mexican,Port Melissa,MN,false
24,301,2702,4.0,2024-10-13 00:10:51.000,takeout,"""I was thoroughly impressed with my takeout experience from Moore Inc, a hidden gem of an Italian restaurant in the area. The pasta dishes I ordered, including the spaghetti Bolognese and fettuccine Alfredo, were cooked to perfection and packed with rich, bold flavors. The portions were generous and the prices were very reasonable, especially considering the high quality of the ingredients. My only minor quibble was that the garlic bread could have been crisper, but overall, I'd highly recommend Moore Inc for a satisfying and authentic Italian meal - 4/5 stars!""",Moore Inc,Italian,$,Uptown,Upper West Side,North,8AM - 9PM,true,true,2023-08-30,Frederick Willis,akelly@example.net,2023-09-11,Mediterranean,New Christopherville,VI,false
25,628,1032,1.5,2024-11-16 00:10:51.000,takeout,"I was thoroughly underwhelmed by my takeout experience from Rose PLC, a local Indian eatery that failed to deliver on its promises. The chicken tikka masala, a dish I've had countless times at other restaurants, was a lackluster affair - the chicken was overcooked and dry, and the sauce lacked the rich, creamy flavor I've come to expect. The basmati rice was also a letdown, with a strange, almost metallic aftertaste that lingered unpleasantly. For the prices they're charging, I expect a lot more flavor and care in the preparation - unfortunately, Rose PLC fell far short.",Rose PLC,Indian,$$,West Side,Harborview,West,7AM - 8PM,true,true,2024-07-12,Rachel Lynn,ugarcia@example.net,2024-12-26,Japanese,Ryanmouth,TN,true
26,802,8084,4.5,2025-01-01 00:10:51.000,delivery,"""I recently ordered delivery from Clark-Hill Pasta to celebrate my sister's birthday, and I'm so glad I did! The pasta dishes we chose, including the Spaghetti Bolognese and Fettuccine Alfredo, were cooked to perfection and arrived hot and fresh at our doorstep. The portions were generous, and the flavors were rich and authentic - it truly felt like a taste of Italy in the comfort of our own home. The only reason I'm not giving it a full 5 stars is that the garlic bread was a bit overcooked, but overall, Clark-Hill Pasta exceeded our expectations and made for a wonderful birthday celebration. Highly recommend!"" 4.5/5 stars",Clark-Hill Pasta,Italian,$,Suburb,Oakwood,Outer,11AM - 10PM,false,true,2023-08-30,Joan Lopez,michaelfuentes@example.com,2022-09-10,Various,Campbellland,MT,false
27,505,5146,3.0,2025-01-31 00:10:51.000,takeout,"I stopped by Mathis Group Pizza for a quick takeout dinner and left with mixed feelings. The crust on my margherita pizza was cooked to a perfect crisp, but the sauce and cheese could have used a bit more flavor and depth. The portion size was generous, but the overall experience felt somewhat unremarkable - not bad, but not particularly memorable either. For a casual, no-frills pizza night, Mathis Group Pizza gets the job done, but it's not a spot I'd go out of my way for.",Mathis Group Pizza,Italian,$$,West Side,Harborview,West,7AM - 12PM,false,true,2024-03-29,Derrick Baker,mary86@example.org,2023-04-27,Various,Port Kimberlyborough,KS,false
28,567,8775,4.0,2023-07-16 00:10:51.000,takeout,"""I'm so glad I stumbled upon Pacheco, Barry and Howard Curry - their takeout game is on point! I ordered the chicken tikka masala and saag paneer, and both dishes were rich and flavorful, with tender meat and perfectly cooked vegetables. The basmati rice and naan bread were also cooked to perfection, and the portion sizes were generous to say the least. My only minor quibble is that the spice levels could have been a bit more nuanced, but overall I was thoroughly impressed with the quality and value of my meal - 4 stars and I'll definitely be back!""","Pacheco, Barry and Howard Curry",Indian,$,Midtown,Garment District,Central,8AM - 8PM,true,true,2024-08-10,Mary Snyder,tonyfrey@example.org,2023-01-26,Mediterranean,Cervantesfurt,AK,true
29,65,1843,3.5,2024-02-21 00:10:51.000,takeout,"""I was pleasantly surprised by the takeout experience at Garcia, Serrano and Mejia Bistro, a French bistro that's clearly passionate about its craft. The Coq au Vin, which I ordered to go, was rich and flavorful, with tender chicken and a velvety sauce that held up surprisingly well to the commute home. While the accompanying pommes frites were a tad soggy, the overall quality of the dish made up for it. For a takeout meal, the presentation was also impressive, with each component carefully packaged and garnished. Overall, a solid 3.5 stars - I'd definitely order from Garcia, Serrano and Mejia again, and I'm curious to try their dine-in experience.""","Garcia, Serrano and Mejia Bistro",French,$,Suburb,Pine Hills,Outer,9AM - 8PM,true,true,2024-06-29,Thomas Hughes,acastaneda@example.org,2022-06-28,Japanese,West Wendymouth,DC,true
30,798,1461,5.0,2024-09-13 00:10:51.000,delivery,"""I'm blown away by the exceptional experience I had with Carter, Weaver and Richardson Grill's delivery service! As a vegetarian, I was thrilled to see a separate menu section dedicated to plant-based options, and the vegan 'black bean and sweet potato burger' I ordered did not disappoint - the flavors were rich and bold, and the patty was cooked to perfection. The gluten-free bun was a nice touch, and the side of roasted vegetables was cooked just right. The entire meal arrived hot and fresh, and the packaging was eco-friendly to boot. Five stars isn't enough - I'd give them ten if I could!""","Carter, Weaver and Richardson Grill",American,$$$$,Suburb,Pine Hills,Outer,8AM - 10PM,true,true,2023-04-23,Lindsey Woods,vjarvis@example.org,2024-01-11,American,South Natalietown,NM,false
31,752,9249,3.5,2024-03-22 00:10:51.000,takeout,"**3.5/5 stars**

I ordered takeout from Hernandez, White and Ferguson Aegean for my sister's birthday dinner, hoping to bring a taste of the Mediterranean to our celebration. While the food was solid, it didn't quite blow us away. The grilled octopus was tender and flavorful, but the spanakopita was a bit soggy and lacking in seasoning. The portions were generous, but the overall experience felt more like a casual weeknight dinner than a special occasion meal. Still, for the price and convenience, it was a decent choice, and we appreciated the friendly service.","Hernandez, White and Ferguson Aegean",Mediterranean,$,Business District,Tech Corridor,Central,10AM - 8PM,true,true,2023-11-14,Carolyn Riley,ashleejohnson@example.org,2025-01-28,Chinese,South Tommy,NY,false
32,642,4949,5.0,2024-07-06 00:10:51.000,delivery,"""I'm still grinning from ear to ear after celebrating my wife's birthday with a delivery order from Zimmerman-Douglas Diner. The food arrived promptly and was still piping hot, which is no easy feat considering we live 20 minutes away. The 'Classic Cheeseburger' and 'Creamy Tomato Soup' were absolute showstoppers - the burger patty was cooked to perfection and the soup was rich and velvety. The real icing on the cake was the complimentary birthday dessert, a decadent chocolate cake that was moist and indulgent. Five stars isn't enough - I'd give them ten if I could!""",Zimmerman-Douglas Diner,American,$$,Uptown,Upper West Side,North,7AM - 11PM,true,true,2023-06-17,Paige Houston,myersmark@example.com,2023-02-06,American,East Kirkmouth,FL,false
33,763,5915,2.0,2025-01-31 00:10:51.000,takeout,"**2/5 stars**

I was really looking forward to trying Ryan Group Curry, but unfortunately, my takeout experience was a letdown. The chicken tikka masala, which I was expecting to be a highlight, was overcooked and dry, with a sauce that tasted more like ketchup than rich, creamy tomato sauce. The basmati rice was also underseasoned and lacked the fluffy texture I've come to expect from a good Indian restaurant. For the prices they're charging, I expected a lot more flavor and care in the preparation of their dishes.",Ryan Group Curry,Indian,$$$,East Side,Eastwood,East,9AM - 8PM,true,true,2023-04-22,Jennifer Barrett,lisa57@example.com,2023-06-18,Various,Port John,VA,false
34,434,5323,4.0,2025-01-03 00:10:51.000,dine-in,"**4.0/5 stars**

I stopped by Powell Inc Mexicana for dinner last night and was thoroughly impressed with the vibrant atmosphere and delicious eats. As a vegetarian, I was pleased to see a variety of options on the menu, including a flavorful veggie fajita dish that was cooked to perfection. The service was friendly and attentive, and our server was happy to accommodate my gluten-free request by substituting the traditional tortillas with corn tortillas. While the prices were a tad higher than I expected, the generous portion sizes and high-quality ingredients made it well worth the splurge. Overall, I'd highly recommend Powell Inc Mexicana to anyone craving authentic Mexican cuisine with a modern twist.",Powell Inc Mexicana,Mexican,$,Midtown,Garment District,Central,8AM - 9PM,true,true,2024-10-08,Bradley Smith,bennettbrian@example.org,2022-05-24,American,Simmonsport,PW,false
35,782,9550,4.0,2023-08-20 00:10:51.000,delivery,"""I was thoroughly impressed with my delivery experience from Nolan Inc! The pasta dishes I ordered, specifically the Spaghetti Bolognese and Fettuccine Alfredo, were cooked to perfection and arrived hot and fresh at my doorstep. The flavors were rich and authentic, and the portion sizes were generous to say the least. My only minor quibble was that the garlic bread could have been crisper, but overall, I'd highly recommend Nolan Inc for a satisfying Italian food fix - 4/5 stars!""",Nolan Inc,Italian,$$$$,Midtown,Garment District,Central,9AM - 10PM,true,true,2024-06-20,Christopher Lawson,gonzalezlauren@example.com,2023-10-03,Thai,West Jacqueline,MD,false
36,405,7313,3.0,2024-06-25 00:10:51.000,dine-in,"**3.0/5 stars**

I stopped by Evans LLC for a mid-week dinner, hoping to indulge in some classic French cuisine. While the atmosphere was cozy and intimate, with dim lighting and soft jazz playing in the background, the food was somewhat of a mixed bag. The escargots were rich and flavorful, but the duck confit was overcooked and lacking in seasoning. Overall, it was a decent, if unremarkable, dining experience - not particularly memorable, but not disappointing either.",Evans LLC,French,$,Business District,Tech Corridor,Central,11AM - 9PM,true,true,2024-11-23,Valerie Coleman,agrant@example.org,2024-08-10,Mediterranean,Collinsstad,VI,false
37,609,2171,3.5,2023-03-28 00:10:51.000,delivery,"I recently ordered delivery from Jackson and Sons Wok, and while it was a solid, satisfying meal, it didn't particularly stand out from the pack. The Kung Pao chicken was cooked well, with a good balance of spicy and savory flavors, but the vegetables were a bit overcooked and the portion size was smaller than I expected. The egg rolls, on the other hand, were crispy and flavorful, and the fortune cookies were a nice touch. Overall, Jackson and Sons Wok is a reliable option for Chinese food, but it's not necessarily a destination worth going out of your way for.",Jackson and Sons Wok,Chinese,$$$,Business District,Tech Corridor,Central,8AM - 11PM,true,true,2024-04-04,Andrea Singleton,bairdcody@example.com,2024-09-17,Japanese,Dominguezshire,NY,true
38,835,7534,4.5,2024-12-25 00:10:51.000,delivery,"""I'm so glad I discovered Rodriguez Ltd, a hidden gem in the world of Vietnamese cuisine! I ordered delivery from them last night and was blown away by the flavors and freshness of the dishes. The pho was rich and aromatic, with tender beef and a generous serving of herbs, while the banh mi was crispy and perfectly balanced. My only minor quibble was that the spring rolls could have been crisper, but overall, I'm already planning my next order - 4.5 stars and highly recommended!""",Rodriguez Ltd,Vietnamese,$$$,West Side,Harborview,West,11AM - 11PM,true,true,2023-11-17,David Faulkner,newmanmichael@example.net,2022-05-25,Mediterranean,South Sabrina,SD,false
39,201,914,3.5,2024-08-07 00:10:51.000,delivery,"""I recently ordered delivery from Hernandez-Taylor Mediterranean to celebrate my sister's birthday, and I was thoroughly impressed with the flavors and quality of the dishes. The grilled lamb gyro was tender and juicy, and the spanakopita was crispy and well-seasoned. The portions were generous, and the prices were very reasonable. While the delivery took a bit longer than expected, the food was worth the wait - I'd definitely recommend Hernandez-Taylor for a satisfying and authentic Mediterranean meal. Overall, 3.5 stars - a great option for a special occasion or just a weeknight dinner.""",Hernandez-Taylor Mediterranean,Mediterranean,$,Downtown,Theater District,Central,7AM - 9PM,true,true,2023-06-02,Albert Hayes,darrellbaldwin@example.org,2024-01-13,Indian,East Richardmouth,MN,true
